--------------------------------------------------------------------------------------------------
  Depth    MaxCuts  CatCols                           Accuracy   Precision      Recall         FPR
      2          3  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2          4  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2          4  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2          4  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2          8  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2          8  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2          8  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         16  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2         16  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         16  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         24  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2         24  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         24  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         32  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2         32  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      2         32  [2, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
      6          3  [2]                                 0.8146      0.8384      0.9452      0.6559
      6          3  [2, 3]                              0.8133      0.8343      0.9502      0.6794
      6          3  [3]                                 0.8133      0.8342      0.9505      0.6805
      3          3  [2, 3]                              0.8112      0.8456      0.9283      0.6104
      3          3  [3]                                 0.8112      0.8456      0.9283      0.6104
      3          3  [2]                                 0.8112      0.8456      0.9283      0.6104
      5          3  [3]                                 0.8112      0.8296      0.9550      0.7065
      5          3  [2, 3]                              0.8109      0.8293      0.9549      0.7076
      4          3  [2, 3]                              0.8103      0.8349      0.9445      0.6728
      4          3  [3]                                 0.8103      0.8349      0.9445      0.6728
      4          3  [2]                                 0.8103      0.8349      0.9445      0.6728
      5          3  [2]                                 0.8099      0.8260      0.9591      0.7275
      2          3  [2, 3]                              0.8056      0.8180      0.9666      0.7745
      2          3  [3]                                 0.8056      0.8180      0.9666      0.7745
      2          3  [2]                                 0.8056      0.8180      0.9666      0.7745
--------------------------------------------------------------------------------------------------
